index（序号）,model（模型名称）,url（页面路径）,type（模型类型）,mode（流程模式）,implementation_status（实施状态）,primary_keyword（主关键词）,commercial_keyword（商业/行动关键词）,secondary_keywords（副关键词簇）,intent（搜索意图）,sv_us_proxy（国家代理搜索量）,global_search_volume（全球搜索量）,keyword_difficulty（关键词难度 KD）,traffic_potential（流量潜力）,cpc_us_proxy（国家代理 CPC）,metric_notes（指标备注）,keyword_join（关键词匹配审计）,content_coverage_summary（内容覆盖汇总）,title_status（SEO 标题状态）,title_keyword_refs（SEO 标题关联关键词）,meta_description_status（Meta 描述状态）,meta_description_keyword_refs（Meta 描述关联关键词）,h1_status（H1 主标题状态）,h1_keyword_refs（H1 主标题关联关键词）,opening_status（首段/开场回答状态）,opening_keyword_refs（首段/开场回答关联关键词）,h2_topics_status（H2 主题状态）,h2_topics_keyword_refs（H2 主题关联关键词）,api_access_status（API/访问状态）,api_access_keyword_refs（API/访问关联关键词）,pricing_status（价格状态）,pricing_keyword_refs（价格关联关键词）,use_cases_status（使用场景状态）,use_cases_keyword_refs（使用场景关联关键词）,comparison_status（对比状态）,comparison_keyword_refs（对比关联关键词）,prompt_library_status（Prompt 示例状态）,prompt_library_keyword_refs（Prompt 示例关联关键词）,faq_status（FAQ 常见问题状态）,faq_keyword_refs（FAQ 常见问题关联关键词）,schema_status（结构化数据状态）,schema_keyword_refs（结构化数据关联关键词）,canonical_hreflang_status（Canonical/Hreflang状态）,canonical_hreflang_keyword_refs（Canonical/Hreflang关联关键词）,internal_links_status（内链状态）,internal_links_keyword_refs（内链关联关键词）,faq_source（FAQ 来源）,faq_questions_count（FAQ 问题数）,fact_boundary（事实边界）,notes（备注）,source_evidence（数据来源）
1,gemini-3.1-flash-image,/models/gemini-3.1-flash-image,image,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-3.1-flash-image,gemini 3.1 flash image api pricing,gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,branded/informational (inferred),40,250,,,,,source_matrix_join_verified,covered=14; planned=0; not_applicable=0,covered,gemini-3.1-flash-image,covered,gemini-3.1-flash-image · gemini 3.1 flash image api pricing,covered,gemini-3.1-flash-image,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price · gemini 3.1 flash image api pricing,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,covered,gemini 3.1 flash image api pricing · gemini-3.1-flash-image-preview pricing · gemini 3.1 flash image preview pricing · gemini-3.1-flash-image-preview price,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
2,seedance-2.0-pro,/models/seedance-2.0-pro,video,quick,implemented_local_pending_staging_browser_and_index_observation,seedance 2.0 pro,seedance 2.0 pro ai video generator,seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,N/A,,,,,,,source_matrix_join_verified,covered=14; planned=0; not_applicable=0,covered,seedance 2.0 pro,covered,seedance 2.0 pro · seedance 2.0 pro ai video generator,covered,seedance 2.0 pro,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost · seedance 2.0 pro ai video generator,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,covered,seedance 2.0 pro ai video generator · seedance pro 2.0 · seedance 2.0 pro free · seedance 2.0 pro subscription cost,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
3,eleven_sound_v1,/models/eleven_sound_v1,audio,quick,implemented_local_pending_staging_browser_and_index_observation,eleven sound v1,N/A,N/A,N/A,,,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,eleven sound v1,covered,eleven sound v1,covered,eleven sound v1,covered,,covered,,covered,,covered,,covered,,covered,,not_applicable,,covered,,covered,,covered,,covered,,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
4,gemini-embedding-001,/models/gemini-embedding-001,embedding,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-embedding-001,models/embedding-001 gemini api,gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,informational+branded,200,1400,,,100,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini-embedding-001,covered,gemini-embedding-001 · models/embedding-001 gemini api,covered,gemini-embedding-001,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,not_applicable,,covered,gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model · models/embedding-001 gemini api,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,covered,models/embedding-001 gemini api · gemini-embedding-001 dimensions · gemini embedding 001 pricing · gemini-embedding-001 model,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
5,gemini-3.5-flash-lite,/models/gemini-3.5-flash-lite,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-3.5-flash-lite,gemini 3.5 flash lite api pricing,gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,branded/informational (inferred),10,70,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini-3.5-flash-lite,covered,gemini-3.5-flash-lite · gemini 3.5 flash lite api pricing,covered,gemini-3.5-flash-lite,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,not_applicable,,covered,gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark · gemini 3.5 flash lite api pricing,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,covered,gemini 3.5 flash lite api pricing · gemini 3.5 flash lite pricing · gemini 3.5 flash lite price · gemini 3.5 flash lite benchmark,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
6,glm-4.7,/models/glm-4.7,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,glm-4.7,glm-4.7 api pricing,glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,informational+commercial+branded,500,3400,53,1400,80,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,glm-4.7,covered,glm-4.7 · glm-4.7 api pricing,covered,glm-4.7,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,not_applicable,,covered,glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score · glm-4.7 api pricing,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,covered,glm-4.7 api pricing · glm-4.7 context window · glm-4.7 api pricing · livecodebench v6 glm-4.7 score,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
7,gpt-5.6-sol,/models/gpt-5.6-sol,text/chat,full,implemented_local_pending_staging_browser_fact_review,gpt 5.6 sol,gpt 5.6 sol pricing,openai gpt 5.6 sol · gpt-5.6-sol pricing · gpt 5.6 sol vs 5.5,informational+commercial+branded,1700,13000,22,,160,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gpt 5.6 sol · gpt 5.6 sol pricing,covered,gpt 5.6 sol · gpt 5.6 sol pricing,covered,gpt 5.6 sol,covered,gpt 5.6 sol · openai gpt 5.6 sol · gpt-5.6-sol pricing,covered,gpt 5.6 sol pricing · openai gpt 5.6 sol · gpt-5.6-sol pricing · gpt 5.6 sol vs 5.5,covered,gpt 5.6 sol pricing · openai gpt 5.6 sol · gpt-5.6-sol pricing · gpt 5.6 sol vs 5.5,covered,gpt 5.6 sol pricing · openai gpt 5.6 sol · gpt-5.6-sol pricing · gpt 5.6 sol vs 5.5,covered,gpt 5.6 sol pricing · openai gpt 5.6 sol · gpt-5.6-sol pricing · gpt 5.6 sol vs 5.5,covered,gpt 5.6 sol pricing · openai gpt 5.6 sol · gpt-5.6-sol pricing · gpt 5.6 sol vs 5.5,not_applicable,,covered,openai gpt 5.6 sol · gpt-5.6-sol pricing · gpt 5.6 sol vs 5.5 · gpt 5.6 sol pricing,covered,,covered,,covered,,Ahrefs Questions + verified facts,6,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Curated priority pack implemented in website/src/lib/model-landing.ts; local tests pass; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
8,claude-opus-4-6,/models/claude-opus-4-6,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,claude-opus-4-6,claude-opus-4-6 model name anthropic api 2026,claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,informational+commercial+transactional+branded,200,800,,,130,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,claude-opus-4-6,covered,claude-opus-4-6 · claude-opus-4-6 model name anthropic api 2026,covered,claude-opus-4-6,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,not_applicable,,covered,claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing · claude-opus-4-6 model name anthropic api 2026,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,covered,claude-opus-4-6 model name anthropic api 2026 · claude-opus-4-6-thinking · anthropic/claude-opus-4-6 · claude-opus-4-6 pricing,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
9,grok-imagine-video,/models/grok-imagine-video,video,quick,implemented_local_pending_staging_browser_and_index_observation,grok-imagine-video,grok imagine image to video how to use,grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,branded/informational (inferred),60,350,,,,,source_matrix_join_verified,covered=14; planned=0; not_applicable=0,covered,grok-imagine-video,covered,grok-imagine-video · grok imagine image to video how to use,covered,grok-imagine-video,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed · grok imagine image to video how to use,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,covered,grok imagine image to video how to use · grok imagine image to video how to use · grok imagine xai image to video feature · grok imagine video generation failed,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
10,glm-5.1,/models/glm-5.1,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,glm-5.1,glm-5.1 api pricing 2026,glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,informational+commercial+branded,600,4600,,,80,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,glm-5.1,covered,glm-5.1 · glm-5.1 api pricing 2026,covered,glm-5.1,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,not_applicable,,covered,glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official · glm-5.1 api pricing 2026,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,covered,glm-5.1 api pricing 2026 · glm-5.1-fp8 · glm-5.1 api pricing 2026 · z.ai glm-5.1 pricing official,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
